GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
Id,Id2,Geography,Estimate; Median age -- - Total:,Margin of Error; Median age -- - Total:,Estimate; Median age -- - Male,Margin of Error; Median age -- - Male,Estimate; Median age -- - Female,Margin of Error; Median age -- - Female
8600000US00906,00906,ZCTA5 00906,,,,,$-,$**
8600000US00950,00950,ZCTA5 00950,$-,$**,$-,$**,$-,$**
8600000US00951,00951,ZCTA5 00951,,,$-,$**,$-,$**
8600000US01066,01066,ZCTA5 01066,$-,$**,$-,$**,$-,$**
8600000US01199,01199,ZCTA5 01199,$-,$**,$-,$**,$-,$**
8600000US02203,02203,ZCTA5 02203,$-,$**,$-,$**,$-,$**
8600000US02366,02366,ZCTA5 02366,,,,,$-,$**
8600000US02584,02584,ZCTA5 02584,$-,$**,$-,$**,$-,$**
8600000US02643,02643,ZCTA5 02643,,,$-,$**,,
8600000US02651,02651,ZCTA5 02651,,,$-,$**,$-,$**
8600000US02872,02872,ZCTA5 02872,,,$-,$**,$-,$**
8600000US03754,03754,ZCTA5 03754,$-,$**,$-,$**,$-,$**
8600000US03871,03871,ZCTA5 03871,$-,$**,$-,$**,$-,$**
8600000US04006,04006,ZCTA5 04006,,,$-,$**,,
8600000US04057,04057,ZCTA5 04057,$-,$**,$-,$**,$-,$**
8600000US04228,04228,ZCTA5 04228,,,$-,$**,$-,$**
8600000US04271,04271,ZCTA5 04271,$-,$**,$-,$**,$-,$**
8600000US04286,04286,ZCTA5 04286,,,,,$-,$**
8600000US04570,04570,ZCTA5 04570,$-,$**,$-,$**,$-,$**
8600000US04629,04629,ZCTA5 04629,,,$-,$**,,
8600000US04741,04741,ZCTA5 04741,$-,$**,$-,$**,$-,$**
8600000US04926,04926,ZCTA5 04926,,,,,$-,$**
8600000US04940,04940,ZCTA5 04940,$-,$**,$-,$**,$-,$**
8600000US04944,04944,ZCTA5 04944,,,$-,$**,$-,$**
8600000US04975,04975,ZCTA5 04975,,,,,$-,$**
8600000US04992,04992,ZCTA5 04992,,,$-,$**,,
8600000US05481,05481,ZCTA5 05481,$-,$**,$-,$**,$-,$**
8600000US05664,05664,ZCTA5 05664,$-,$**,$-,$**,$-,$**
8600000US05740,05740,ZCTA5 05740,$-,$**,$-,$**,$-,$**
8600000US05850,05850,ZCTA5 05850,,,,,$-,$**
8600000US05901,05901,ZCTA5 05901,,,,,$-,$**
8600000US06020,06020,ZCTA5 06020,$-,$**,$-,$**,$-,$**
8600000US06059,06059,ZCTA5 06059,$-,$**,$-,$**,$-,$**
8600000US06160,06160,ZCTA5 06160,$-,$**,$-,$**,$-,$**
8600000US06243,06243,ZCTA5 06243,$-,$**,$-,$**,$-,$**
8600000US06336,06336,ZCTA5 06336,,,,,$-,$**
8600000US06389,06389,ZCTA5 06389,,,,,$-,$**
8600000US06856,06856,ZCTA5 06856,,,,,$-,$**
8600000US07495,07495,ZCTA5 07495,$-,$**,$-,$**,$-,$**
8600000US07820,07820,ZCTA5 07820,$-,$**,$-,$**,$-,$**
8600000US07870,07870,ZCTA5 07870,,,,,$-,$**
8600000US07881,07881,ZCTA5 07881,,,$-,$**,$-,$**
8600000US07961,07961,ZCTA5 07961,$-,$**,$-,$**,$-,$**
8600000US08074,08074,ZCTA5 08074,,,$-,$**,$-,$**
8600000US08217,08217,ZCTA5 08217,,,$-,$**,$-,$**
8600000US08320,08320,ZCTA5 08320,$-,$**,$-,$**,$-,$**
8600000US08561,08561,ZCTA5 08561,$-,$**,$-,$**,$-,$**
8600000US08890,08890,ZCTA5 08890,$-,$**,$-,$**,$-,$**
8600000US10020,10020,ZCTA5 10020,$-,$**,$-,$**,$-,$**
8600000US10103,10103,ZCTA5 10103,$-,$**,$-,$**,$-,$**
8600000US10110,10110,ZCTA5 10110,,,,,$-,$**
8600000US10111,10111,ZCTA5 10111,$-,$**,$-,$**,$-,$**
8600000US10112,10112,ZCTA5 10112,$-,$**,$-,$**,$-,$**
8600000US10115,10115,ZCTA5 10115,$-,$**,$-,$**,$-,$**
8600000US10119,10119,ZCTA5 10119,$-,$**,$-,$**,$-,$**
8600000US10152,10152,ZCTA5 10152,$-,$**,$-,$**,$-,$**
8600000US10153,10153,ZCTA5 10153,$-,$**,$-,$**,$-,$**
8600000US10154,10154,ZCTA5 10154,$-,$**,$-,$**,$-,$**
8600000US10165,10165,ZCTA5 10165,$-,$**,$-,$**,$-,$**
8600000US10167,10167,ZCTA5 10167,$-,$**,$-,$**,$-,$**
8600000US10168,10168,ZCTA5 10168,$-,$**,$-,$**,$-,$**
8600000US10169,10169,ZCTA5 10169,$-,$**,$-,$**,$-,$**
8600000US10170,10170,ZCTA5 10170,$-,$**,$-,$**,$-,$**
8600000US10171,10171,ZCTA5 10171,$-,$**,$-,$**,$-,$**
8600000US10172,10172,ZCTA5 10172,$-,$**,$-,$**,$-,$**
8600000US10173,10173,ZCTA5 10173,$-,$**,$-,$**,$-,$**
8600000US10174,10174,ZCTA5 10174,$-,$**,$-,$**,$-,$**
8600000US10177,10177,ZCTA5 10177,$-,$**,$-,$**,$-,$**
8600000US10199,10199,ZCTA5 10199,$-,$**,$-,$**,$-,$**
8600000US10271,10271,ZCTA5 10271,$-,$**,$-,$**,$-,$**
8600000US10278,10278,ZCTA5 10278,$-,$**,$-,$**,$-,$**
8600000US10279,10279,ZCTA5 10279,$-,$**,$-,$**,$-,$**
8600000US10311,10311,ZCTA5 10311,$-,$**,$-,$**,$-,$**
8600000US10545,10545,ZCTA5 10545,,,,,$-,$**
8600000US10910,10910,ZCTA5 10910,$-,$**,$-,$**,$-,$**
8600000US10911,10911,ZCTA5 10911,$-,$**,$-,$**,$-,$**
8600000US11351,11351,ZCTA5 11351,$-,$**,$-,$**,$-,$**
8600000US11359,11359,ZCTA5 11359,$-,$**,$-,$**,$-,$**
8600000US11371,11371,ZCTA5 11371,$-,$**,$-,$**,$-,$**
8600000US11424,11424,ZCTA5 11424,$-,$**,$-,$**,$-,$**
8600000US11425,11425,ZCTA5 11425,$-,$**,$-,$**,$-,$**
8600000US11430,11430,ZCTA5 11430,,,,,$-,$**
8600000US11451,11451,ZCTA5 11451,$-,$**,$-,$**,$-,$**
8600000US11556,11556,ZCTA5 11556,$-,$**,$-,$**,$-,$**
8600000US11931,11931,ZCTA5 11931,$-,$**,$-,$**,$-,$**
