GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
Id,Id2,Geography,Estimate; Median age -- - Total:,Margin of Error; Median age -- - Total:,Estimate; Median age -- - Male,Margin of Error; Median age -- - Male,Estimate; Median age -- - Female,Margin of Error; Median age -- - Female
8600000US00601,00601,ZCTA5 00601,37.6,0.9,36.5,0.6,39.0,1.1
8600000US00602,00602,ZCTA5 00602,39.5,0.5,38.6,0.6,40.3,0.7
8600000US00603,00603,ZCTA5 00603,39.9,0.5,37.7,0.5,41.4,1.0
8600000US00606,00606,ZCTA5 00606,40.8,1.7,41.0,1.9,40.3,2.9
8600000US00610,00610,ZCTA5 00610,40.2,0.7,36.9,0.7,42.2,0.7
8600000US00612,00612,ZCTA5 00612,39.9,1.1,38.1,1.7,41.6,1.1
8600000US00616,00616,ZCTA5 00616,42.8,2.2,41.3,4.4,43.8,2.9
8600000US00617,00617,ZCTA5 00617,37.1,0.9,36.1,0.5,39.0,0.9
8600000US00622,00622,ZCTA5 00622,42.5,5.2,43.0,6.4,41.9,5.9
8600000US00623,00623,ZCTA5 00623,40.9,0.8,39.5,1.5,42.1,0.8
8600000US00624,00624,ZCTA5 00624,35.5,0.5,35.2,0.5,36.3,1.1
8600000US00627,00627,ZCTA5 00627,39.0,0.4,37.7,0.9,39.9,0.7
8600000US00631,00631,ZCTA5 00631,43.8,8.9,40.9,12.2,45.5,11.0
8600000US00637,00637,ZCTA5 00637,40.1,0.7,37.7,1.9,41.5,1.0
8600000US00638,00638,ZCTA5 00638,38.7,0.6,38.0,1.2,39.2,1.0
8600000US00641,00641,ZCTA5 00641,39.9,0.9,39.1,1.1,40.8,1.0
8600000US00646,00646,ZCTA5 00646,38.1,0.8,37.0,0.6,39.3,0.6
8600000US00647,00647,ZCTA5 00647,45.0,3.9,44.8,4.3,45.3,5.8
8600000US00650,00650,ZCTA5 00650,37.1,1.0,35.4,1.2,39.3,1.8
8600000US00652,00652,ZCTA5 00652,40.1,1.7,39.3,4.4,40.8,3.5
8600000US00653,00653,ZCTA5 00653,37.4,1.5,36.2,2.7,37.9,3.9
8600000US00656,00656,ZCTA5 00656,38.3,0.8,36.9,1.8,39.3,1.1
8600000US00659,00659,ZCTA5 00659,39.4,0.4,37.5,1.1,40.8,0.5
8600000US00660,00660,ZCTA5 00660,44.0,0.4,41.2,1.3,45.8,0.8
8600000US00662,00662,ZCTA5 00662,39.8,0.8,37.8,0.8,41.5,1.0
8600000US00664,00664,ZCTA5 00664,35.2,0.2,33.7,0.4,36.6,0.8
8600000US00667,00667,ZCTA5 00667,42.1,1.8,39.6,1.1,44.3,0.4
8600000US00669,00669,ZCTA5 00669,39.0,0.7,37.5,1.1,40.9,0.7
8600000US00670,00670,ZCTA5 00670,38.3,1.4,36.9,1.6,39.1,2.0
8600000US00674,00674,ZCTA5 00674,39.3,0.6,37.9,0.7,40.5,0.7
8600000US00676,00676,ZCTA5 00676,37.3,0.6,36.2,0.5,38.5,0.9
8600000US00677,00677,ZCTA5 00677,42.7,1.1,42.1,2.1,43.8,1.1
8600000US00678,00678,ZCTA5 00678,39.1,0.8,36.9,1.3,40.8,1.1
8600000US00680,00680,ZCTA5 00680,39.2,1.7,35.8,1.5,43.3,1.7
8600000US00682,00682,ZCTA5 00682,36.2,2.1,33.1,2.7,39.2,2.3
8600000US00683,00683,ZCTA5 00683,42.0,1.0,40.0,1.3,43.3,0.6
8600000US00685,00685,ZCTA5 00685,41.3,0.6,39.5,1.1,43.0,0.8
8600000US00687,00687,ZCTA5 00687,35.2,0.1,33.9,0.4,36.5,0.6
8600000US00688,00688,ZCTA5 00688,39.3,3.1,36.6,1.1,41.9,3.3
8600000US00690,00690,ZCTA5 00690,38.1,6.0,34.7,6.9,40.3,5.8
8600000US00692,00692,ZCTA5 00692,36.1,0.6,35.0,0.4,37.0,0.9
8600000US00693,00693,ZCTA5 00693,38.7,0.8,36.6,0.7,40.6,0.8
8600000US00694,00694,ZCTA5 00694,70.4,7.4,70.5,3.8,,
8600000US00698,00698,ZCTA5 00698,40.9,0.7,39.6,0.5,42.6,0.9
8600000US00703,00703,ZCTA5 00703,37.5,0.9,35.9,0.6,39.5,1.3
8600000US00704,00704,ZCTA5 00704,34.7,2.9,35.9,4.2,34.1,3.2
8600000US00705,00705,ZCTA5 00705,39.8,1.3,37.6,1.0,40.9,1.0
8600000US00707,00707,ZCTA5 00707,41.5,0.9,41.2,1.8,41.8,1.9
8600000US00714,00714,ZCTA5 00714,37.2,0.7,35.2,0.3,38.4,0.9
8600000US00715,00715,ZCTA5 00715,41.3,4.2,41.5,7.4,40.9,5.7
8600000US00716,00716,ZCTA5 00716,39.3,2.0,35.2,1.9,44.1,3.0
8600000US00717,00717,ZCTA5 00717,34.6,2.4,32.5,4.6,36.0,3.4
8600000US00718,00718,ZCTA5 00718,35.8,0.5,34.7,0.3,37.0,0.5
8600000US00719,00719,ZCTA5 00719,37.0,0.8,36.6,0.9,37.4,1.0
8600000US00720,00720,ZCTA5 00720,36.3,0.7,34.9,0.4,37.8,1.4
8600000US00723,00723,ZCTA5 00723,41.7,1.0,39.3,1.3,43.4,0.7
8600000US00725,00725,ZCTA5 00725,38.7,0.8,36.0,1.1,41.3,1.0
8600000US00727,00727,ZCTA5 00727,38.3,0.9,37.2,0.9,39.3,1.2
8600000US00728,00728,ZCTA5 00728,36.8,1.4,33.4,1.5,40.3,1.7
8600000US00729,00729,ZCTA5 00729,37.0,0.6,35.5,0.6,38.1,0.6
8600000US00730,00730,ZCTA5 00730,39.0,2.3,36.9,1.8,41.1,2.2
8600000US00731,00731,ZCTA5 00731,41.0,2.6,39.9,2.8,42.0,4.4
8600000US00735,00735,ZCTA5 00735,40.3,0.9,39.0,1.2,41.3,0.8
8600000US00736,00736,ZCTA5 00736,39.6,0.7,38.5,0.8,40.8,0.8
8600000US00738,00738,ZCTA5 00738,39.4,0.8,37.6,1.4,40.6,0.6
8600000US00739,00739,ZCTA5 00739,37.5,0.7,36.6,0.9,38.1,0.7
8600000US00740,00740,ZCTA5 00740,34.8,6.4,24.9,19.0,36.5,6.9
8600000US00741,00741,ZCTA5 00741,41.6,4.8,38.1,4.7,44.1,4.2
8600000US00745,00745,ZCTA5 00745,38.5,0.6,36.5,0.8,40.1,0.5
8600000US00751,00751,ZCTA5 00751,37.2,1.6,35.0,2.0,38.4,2.0
8600000US00754,00754,ZCTA5 00754,38.9,0.6,37.6,0.8,39.8,0.7
8600000US00757,00757,ZCTA5 00757,35.5,0.2,34.8,0.1,36.9,0.9
8600000US00765,00765,ZCTA5 00765,42.8,1.0,41.6,1.2,44.4,2.4
8600000US00766,00766,ZCTA5 00766,36.0,0.4,34.0,0.6,37.4,0.7
8600000US00767,00767,ZCTA5 00767,39.7,0.7,38.0,1.1,40.8,1.0
